2023-12-22 20:02:39.609  8117-8144  LeakCanary              com.amaze.filemanager.debug          D  Setting up flushing for Thread[queued-work-looper,5,main]
2023-12-22 20:02:39.980  1771-1771  SurfaceFlinger          surfaceflinger                       W  couldn't log to binary event log: overflow.
2023-12-22 20:02:39.980  1771-1771  SurfaceFlinger          surfaceflinger                       W  couldn't log to binary event log: overflow.
2023-12-22 20:02:40.104  3467-3467  StreamRenderer          com....android.googlequicksearchbox  I  cleanUpRendererScope(nowcards--8677951692913678496)
2023-12-22 20:02:40.112  3467-3467  SearchService           com....android.googlequicksearchbox  W  Abort, client detached.
2023-12-22 20:02:40.112  3467-3467  StreamController        com....android.googlequicksearchbox  I  cleanUpControllerScope(nowcards--8677951692913678496)
2023-12-22 20:02:40.124  3467-8079  WorkController          com....android.googlequicksearchbox  I  WorkProxy is not enqueued because WorkController is disposed: WorkProxy{Name=context::j, WorkerId=context, id=9df175f}
2023-12-22 20:02:40.124  3467-8079  WorkController          com....android.googlequicksearchbox  I  WorkProxy is not enqueued because WorkController is disposed: WorkProxy{Name=context::m, WorkerId=context, id=f9615ac}
2023-12-22 20:02:40.124  3467-8079  WorkController          com....android.googlequicksearchbox  I  WorkProxy is not enqueued because WorkController is disposed: WorkProxy{Name=context::n, WorkerId=context, id=c89d275}
2023-12-22 20:02:40.124  3467-8079  WorkController          com....android.googlequicksearchbox  I  WorkProxy is not enqueued because WorkController is disposed: WorkProxy{Name=context::p, WorkerId=context, id=4c720a}
2023-12-22 20:02:40.138  2051-8002  Places                  com.google.android.gms.persistent    I  ?: Couldn't find platform key file.
2023-12-22 20:02:40.138  2051-8002  Places                  com.google.android.gms.persistent    I  ?: Couldn't find platform key file.
2023-12-22 20:02:40.144  2083-2327  EGL_emulation           com.android.systemui                 D  eglMakeCurrent: 0xe2985720: ver 2 0 (tinfo 0xe2983940)
2023-12-22 20:02:40.161  2051-3584  PlaceInferenceEngine    com.google.android.gms.persistent    I  [anon] Changed inference mode: 1
2023-12-22 20:02:40.165  2051-3584  PlaceInferenceEngine    com.google.android.gms.persistent    I  [anon] Changed inference mode: 1
2023-12-22 20:02:40.516  1930-3581  GnssLocationProvider    system_server                        I  WakeLock acquired by sendMessage(REPORT_SV_STATUS, 0, com.android.server.location.GnssLocationProvider$SvStatusInfo@76cc0f9)
2023-12-22 20:02:40.516  1930-1943  GnssLocationProvider    system_server                        I  WakeLock released by handleMessage(REPORT_SV_STATUS, 0, com.android.server.location.GnssLocationProvider$SvStatusInfo@76cc0f9)
2023-12-22 20:02:41.516  1930-3581  GnssLocationProvider    system_server                        I  WakeLock acquired by sendMessage(REPORT_SV_STATUS, 0, com.android.server.location.GnssLocationProvider$SvStatusInfo@5b0383e)
2023-12-22 20:02:41.516  1930-1943  GnssLocationProvider    system_server                        I  WakeLock released by handleMessage(REPORT_SV_STATUS, 0, com.android.server.location.GnssLocationProvider$SvStatusInfo@5b0383e)
2023-12-22 20:02:42.517  1930-3581  GnssLocationProvider    system_server                        I  WakeLock acquired by sendMessage(REPORT_SV_STATUS, 0, com.android.server.location.GnssLocationProvider$SvStatusInfo@b1f069f)
2023-12-22 20:02:42.517  1930-1943  GnssLocationProvider    system_server                        I  WakeLock released by handleMessage(REPORT_SV_STATUS, 0, com.android.server.location.GnssLocationProvider$SvStatusInfo@b1f069f)
2023-12-22 20:02:42.877  2051-8087  NetRec                  com.google.android.gms.persistent    I  [530] aivq.a: Refreshing scores for 1 networks.
2023-12-22 20:02:42.907  2051-8002  NetRec                  com.google.android.gms.persistent    I  [519] aivq.a: Refreshing scores for 1 networks.
2023-12-22 20:02:43.518  1930-3581  GnssLocationProvider    system_server                        I  WakeLock acquired by sendMessage(REPORT_SV_STATUS, 0, com.android.server.location.GnssLocationProvider$SvStatusInfo@b252a97)
2023-12-22 20:02:43.519  1930-1943  GnssLocationProvider    system_server                        I  WakeLock released by handleMessage(REPORT_SV_STATUS, 0, com.android.server.location.GnssLocationProvider$SvStatusInfo@b252a97)
2023-12-22 20:02:44.517  1930-3581  GnssLocationProvider    system_server                        I  WakeLock acquired by sendMessage(REPORT_SV_STATUS, 0, com.android.server.location.GnssLocationProvider$SvStatusInfo@9975484)
2023-12-22 20:02:44.517  1930-1943  GnssLocationProvider    system_server                        I  WakeLock released by handleMessage(REPORT_SV_STATUS, 0, com.android.server.location.GnssLocationProvider$SvStatusInfo@9975484)
2023-12-22 20:02:45.106  2051-8087  NetRec                  com.google.android.gms.persistent    W  [530] aivq.a: Timeout after 2227 ms while waiting for score updates. Returning 1.
